subject	activity	timefreq	acceleration	instrument	jerk	magnitude	variable	axis	count	average
1	LAYING	time	NA	gyroscope	NA	NA	mean	X	347	-0.011263387782853
1	LAYING	time	NA	gyroscope	NA	NA	mean	Y	347	-0.0873609801685879
1	LAYING	time	NA	gyroscope	NA	NA	mean	Z	347	0.155017599440922
1	LAYING	time	NA	gyroscope	NA	NA	std	X	347	-0.954608505795389
1	LAYING	time	NA	gyroscope	NA	NA	std	Y	347	-0.959759286455331
1	LAYING	time	NA	gyroscope	NA	NA	std	Z	347	-0.949695513861671
1	LAYING	time	NA	gyroscope	NA	magnitude	mean	NA	347	-0.922435183429395
1	LAYING	time	NA	gyroscope	NA	magnitude	std	NA	347	-0.920995947861671
1	LAYING	time	NA	gyroscope	jerk	NA	mean	X	347	-0.10533923821268
1	LAYING	time	NA	gyroscope	jerk	NA	mean	Y	347	-0.0401131258079539
1	LAYING	time	NA	gyroscope	jerk	NA	mean	Z	347	-0.0707131219855908
1	LAYING	time	NA	gyroscope	jerk	NA	std	X	347	-0.96330713204611
1	LAYING	time	NA	gyroscope	jerk	NA	std	Y	347	-0.975990298357349
1	LAYING	time	NA	gyroscope	jerk	NA	std	Z	347	-0.978585248818444
1	LAYING	time	NA	gyroscope	jerk	magnitude	mean	NA	347	-0.976887316974063
1	LAYING	time	NA	gyroscope	jerk	magnitude	std	NA	347	-0.968053833602305
1	LAYING	time	body	accelerometer	NA	NA	mean	X	347	0.258226987325648
1	LAYING	time	body	accelerometer	NA	NA	mean	Y	347	-0.0210779956418732
1	LAYING	time	body	accelerometer	NA	NA	mean	Z	347	-0.109819135312392
1	LAYING	time	body	accelerometer	NA	NA	std	X	347	-0.951346005466859
1	LAYING	time	body	accelerometer	NA	NA	std	Y	347	-0.930493632838617
1	LAYING	time	body	accelerometer	NA	NA	std	Z	347	-0.932527973456484
1	LAYING	time	body	accelerometer	NA	magnitude	mean	NA	347	-0.933474510582133
1	LAYING	time	body	accelerometer	NA	magnitude	std	NA	347	-0.91229495414121
1	LAYING	time	body	accelerometer	jerk	NA	mean	X	347	0.0865669830461095
1	LAYING	time	body	accelerometer	jerk	NA	mean	Y	347	0.0120052641926225
1	LAYING	time	body	accelerometer	jerk	NA	mean	Z	347	-0.00341897261703314
1	LAYING	time	body	accelerometer	jerk	NA	std	X	347	-0.975068620259366
1	LAYING	time	body	accelerometer	jerk	NA	std	Y	347	-0.958747079423631
1	LAYING	time	body	accelerometer	jerk	NA	std	Z	347	-0.971511429654179
1	LAYING	time	body	accelerometer	jerk	magnitude	mean	NA	347	-0.971665631527378
1	LAYING	time	body	accelerometer	jerk	magnitude	std	NA	347	-0.962508822564841
1	LAYING	time	gravity	accelerometer	NA	NA	mean	X	347	-0.375965379838617
1	LAYING	time	gravity	accelerometer	NA	NA	mean	Y	347	0.75608603343804
1	LAYING	time	gravity	accelerometer	NA	NA	mean	Z	347	0.478456851366571
1	LAYING	time	gravity	accelerometer	NA	NA	std	X	347	-0.928315025190202
1	LAYING	time	gravity	accelerometer	NA	NA	std	Y	347	-0.960663374662824
1	LAYING	time	gravity	accelerometer	NA	NA	std	Z	347	-0.941260598567723
1	LAYING	time	gravity	accelerometer	NA	magnitude	mean	NA	347	-0.933474510582133
1	LAYING	time	gravity	accelerometer	NA	magnitude	std	NA	347	-0.91229495414121
1	LAYING	freq	NA	gyroscope	NA	NA	mean	X	347	-0.94443789394611
1	LAYING	freq	NA	gyroscope	NA	NA	mean	Y	347	-0.962713147435159
1	LAYING	freq	NA	gyroscope	NA	NA	mean	Z	347	-0.949472632017291
1	LAYING	freq	NA	gyroscope	NA	NA	std	X	347	-0.958199386570605
1	LAYING	freq	NA	gyroscope	NA	NA	std	Y	347	-0.958863161786744
1	LAYING	freq	NA	gyroscope	NA	NA	std	Z	347	-0.954472353976945
1	LAYING	freq	NA	gyroscope	NA	magnitude	mean	NA	347	-0.938331539538905
1	LAYING	freq	NA	gyroscope	NA	magnitude	std	NA	347	-0.923984253757925
1	LAYING	freq	NA	gyroscope	jerk	magnitude	mean	NA	347	-0.969814180576369
1	LAYING	freq	NA	gyroscope	jerk	magnitude	std	NA	347	-0.967936800461095
1	LAYING	freq	body	accelerometer	NA	NA	mean	X	347	-0.958074932824207
1	LAYING	freq	body	accelerometer	NA	NA	mean	Y	347	-0.938996381322767
1	LAYING	freq	body	accelerometer	NA	NA	mean	Z	347	-0.947792665994236
1	LAYING	freq	body	accelerometer	NA	NA	std	X	347	-0.949282575686744
1	LAYING	freq	body	accelerometer	NA	NA	std	Y	347	-0.930711103276657
1	LAYING	freq	body	accelerometer	NA	NA	std	Z	347	-0.929763496017291
1	LAYING	freq	body	accelerometer	NA	magnitude	mean	NA	347	-0.931484191708934
1	LAYING	freq	body	accelerometer	NA	magnitude	std	NA	347	-0.916583741472046
1	LAYING	freq	body	accelerometer	jerk	NA	mean	X	347	-0.974705093688761
1	LAYING	freq	body	accelerometer	jerk	NA	mean	Y	347	-0.958829724380403
1	LAYING	freq	body	accelerometer	jerk	NA	mean	Z	347	-0.967546623112392
1	LAYING	freq	body	accelerometer	jerk	NA	std	X	347	-0.977878498876081
1	LAYING	freq	body	accelerometer	jerk	NA	std	Y	347	-0.961810225446686
1	LAYING	freq	body	accelerometer	jerk	NA	std	Z	347	-0.974158923832853
1	LAYING	freq	body	accelerometer	jerk	magnitude	mean	NA	347	-0.962834534005764
1	LAYING	freq	body	accelerometer	jerk	magnitude	std	NA	347	-0.961254419048991
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	mean	X	302	-0.0963084068296358
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	mean	Y	302	-0.0497656095129139
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	mean	Z	302	0.0963656053518543
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	std	X	302	-0.341407035319205
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	std	Y	302	-0.288057348038411
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	std	Z	302	-0.247175440846358
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	magnitude	mean	NA	302	-0.111237049674967
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	magnitude	std	NA	302	-0.210745447636424
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	mean	X	302	-0.0605068872802318
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	mean	Y	302	-0.0530447957247351
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	mean	Z	302	-0.0480257252549669
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	std	X	302	-0.338691203249669
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	std	Y	302	-0.373489877443709
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	std	Z	302	-0.20998614250298
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	magnitude	mean	NA	302	-0.333112816900662
2	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	magnitude	std	NA	302	-0.356045678849868
2	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	mean	X	302	0.287294847801324
2	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	mean	Y	302	-0.0160999711948676
2	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	mean	Z	302	-0.106936494263576
2	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	std	X	302	0.127192232171427
2	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	std	Y	302	0.0885814502473179
2	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	std	Z	302	-0.214064025961689
2	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	magnitude	mean	NA	302	0.118514068635199
2	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	magnitude	std	NA	302	0.14312198517606
2	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	mean	X	302	0.0891806095211921
2	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	mean	Y	302	0.00562958616370861
2	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	mean	Z	302	-0.010904524363543
2	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	std	X	302	0.0457967729498344
2	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	std	Y	302	-0.00360469368907285
2	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	std	Z	302	-0.386200592623179
2	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	magnitude	mean	NA	302	-0.0495050855279139
2	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	magnitude	std	NA	302	0.0445426776956954
2	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	mean	X	302	0.934008305430464
2	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	mean	Y	302	-0.183167744536755
2	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	mean	Z	302	-0.0512108490510692
